geo_unit,school,name,latitude,longitude,grade_1918,average_attendance_1918,gender,StatutoryLowAge,StatutoryHighAge,number_staff,SchoolCapacity
CT00015,Bainham,Collingwood,-40.677222,172.682778,3,40,Mixed,5,12,2,44
CT00010,Birchfield,Buller,-41.813,171.793,2,26,Mixed,5,12,1,29
CT00040,Black's Point,Inangahua,-41.85724663,171.9298009,3,91,Mixed,5,12,3,101
CT00040,Blackwater Upper,Inangahua,-41.85724663,171.9298009,2,28,Mixed,5,12,1,31
CT00105,Brightwater (59) and River Terrace (side school) (22),Waimea,-41.33333,173.183333,3,81,Mixed,5,12,2,90
CT00105,Brooklyn,Waimea,-41.33333,173.183333,3,85,Mixed,5,12,3,94
CT00010,Burnett's Face,Buller,-41.813,171.793,3,70,Mixed,5,12,3,78
CT00010,Cape Foulwind,Buller,-41.813,171.793,3,41,Mixed,5,12,2,46
CT00040,Capleston,Inangahua,-41.85724663,171.9298009,2,27,Mixed,5,12,1,30
CT00010,Charleston,Buller,-41.813,171.793,2,24,Mixed,5,12,1,27
CT00010,Churchill,Buller,-41.813,171.793,1,12,Mixed,5,12,1,13
CT00015,Collingwood,Collingwood,-40.677222,172.682778,3,33,Mixed,5,12,2,37
CT00040,Cronadun,Inangahua,-41.85724663,171.9298009,3,33,Mixed,5,12,3,37
CT00010,Denniston,Buller,-41.813,171.793,4,129,Mixed,5,12,6,143
CT00105,Dovedale,Waimea,-41.33333,173.183333,2,23,Mixed,5,12,1,26
CT00010,Fairdown,Buller,-41.813,171.793,1,14,Mixed,5,12,1,16
CT00010,Fern Flat,Buller,-41.813,171.793,1,13,Mixed,5,12,1,14
CT00015,Ferntown,Collingwood,-40.677222,172.682778,1,13,Mixed,5,12,1,14
CT00105,Foxhill,Waimea,-41.33333,173.183333,3,56,Mixed,5,12,2,62
CT00105,Glenhope,Waimea,-41.33333,173.183333,1,16,Mixed,5,12,1,18
CT00105,Glenroy,Waimea,-41.33333,173.183333,1,11,Mixed,5,12,1,12
CT00040,Globe Hill,Inangahua,-41.85724663,171.9298009,3,26,Mixed,5,12,3,29
CT00010,Gordon,Buller,-41.813,171.793,0,11,Mixed,5,12,1,12
CT00010,Granity (135) and Hector (side school) (40),Buller,-41.813,171.793,4,175,Mixed,5,12,4,194
CT00105,Hamama,Waimea,-41.33333,173.183333,1,12,Mixed,5,12,1,13
CT00015,Hinekaka,Collingwood,-40.677222,172.682778,0,7,Mixed,5,12,1,8
